Wavelength    Read Noise      Sky           Dark          A_Eff        BEF           Disp_Width    XDisp_Width
(Angstroms) (Cnt/Exposure) (Cnt/s/res)   (Cnt/s/res)      (cm^2)  (Erg/cm^2/s/res)   (N_resels)     (N_resels)
 923.7183          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.72         3.32
 923.7747          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.72         3.32
 923.8310          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.72         3.32
 923.8873          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.72         3.32
 923.9437          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.72         3.32
 924.0000          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.71         3.32
 924.0563          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.71         3.32
 924.1127          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.71         3.32
 924.1690          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.71         3.32
 924.2253          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.71         3.32
 924.2817          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.71         3.32
 924.3380          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.71         3.32
 924.3944          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.70         3.32
 924.4507          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.70         3.32
 924.5071          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.70         3.32
 924.5634          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.70         3.31
 924.6198          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.70         3.31
 924.6761          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.70         3.31
 924.7324          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.70         3.31
 924.7888          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
 924.8451          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
 924.9014          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
 924.9578          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
 925.0141          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
 925.0704          0.00      0.00e+00      4.20e-06         0.0      0.00e+00         6.69         3.31
